id,parent_id,category,name,coordinates,rating,is_location,is_active
4623685501,4623685500,С,ПОРШНА,,25,True,
4623685503,4623685500,С,ЛИПНИКИ,,25,True,
4623685505,4623685500,С,ПІДСАДКИ,,25,True,
4623685600,4623600000,,РАКОВЕЦЬКА,,0,False,
4623685601,4623685600,С,РАКОВЕЦЬ,,25,True,
4623685602,4623685600,С,ДЕРЕВАЧ,,25,True,
4623685603,4623685600,С,НОВОСІЛКА,,25,True,
4623685604,4623685600,С,ПІДТЕМНЕ,,25,True,
4623685605,4623685600,С,ХОРОСНО,,25,True,
4623685900,4623600000,,СЕМЕНІВСЬКА,,0,False,
4623685901,4623685900,С,СЕМЕНІВКА,,25,True,
4623685902,4623685900,С,БЕРЕГИ,,25,True,
4623685903,4623685900,С,ВІНЯВИ,,25,True,
4623685904,4623685900,С,МИЛОШЕВИЧІ,,25,True,
4623686200,4623600000,,СКНИЛІВСЬКА,,0,False,
4623686201,4623686200,С,СКНИЛІВ,,25,True,
4623686400,4623600000,,СОКІЛЬНИЦЬКА,,0,False,
4623686401,4623686400,С,СОКІЛЬНИКИ,,25,True,
4623686600,4623600000,,СОЛОНКІВСЬКА,,0,False,
4623686601,4623686600,С,СОЛОНКА,,25,True,
4623686604,4623686600,С,МАЛЕЧКОВИЧІ,,25,True,
4623686605,4623686600,С,НАГОРЯНИ,,25,True,
4623686900,4623600000,,СОРОКО-ЛЬВІВСЬКА,,0,False,
4623686901,4623686900,С,СОРОКИ-ЛЬВІВСЬКІ,,25,True,
4623686902,4623686900,С,МУРОВАНЕ,,25,True,
4623687000,4623600000,,СТАВЧАНСЬКА,,0,False,
4623687001,4623687000,С,СТАВЧАНИ,,25,True,
4623687003,4623687000,С,ДІБРІВКИ,,25,True,
4623687005,4623687000,С,ПІДГАЙЦІ,,25,True,
4623687100,4623600000,,СТАРОСІЛЬСЬКА,,0,False,
4623687101,4623687100,С,СТАРЕ СЕЛО,,25,True,
4623687102,4623687100,С,БУДЬКІВ,,25,True,
4623687600,4623600000,,ЧОРНУШОВИЦЬКА,,0,False,
4623687601,4623687600,С,ЧОРНУШОВИЧІ,,25,True,
4623687602,4623687600,С,ЖУРАВНИКИ,,25,True,
4623687603,4623687600,С,ТАРАСІВКА,,25,True,
4623687900,4623600000,,ЧИЖИКІВСЬКА,,0,False,
4623687901,4623687900,С,ЧИЖИКІВ,,25,True,
4623687902,4623687900,С,ГЛУХОВИЧІ,,25,True,
4623688200,4623600000,,ЧИШКІВСЬКА,,0,False,
4623688201,4623688200,С,ЧИШКИ,,25,True,
4623688202,4623688200,С,БЕРЕЖАНИ,,25,True,
4623688203,4623688200,С,ВОЛИЦЯ,,25,True,
4623688204,4623688200,С,СОСНІВКА,,25,True,
4623688600,4623600000,,ЯМПІЛЬСЬКА,,0,False,
4623688601,4623688600,С,ЯМПІЛЬ,,25,True,
4623688603,4623688600,С,КАМ'ЯНОПІЛЬ,,25,True,
4623900000,4600000000,РН,РАДЕХІВСЬКИЙ РАЙОН,,0,False,
